,source,target,count
0,chr10_100020000_100025000,chr10_100055000_100060000,13
1,chr10_100020000_100025000,chr10_100065000_100070000,13
2,chr10_100025000_100030000,chr10_100055000_100060000,14
3,chr10_100025000_100030000,chr10_100065000_100070000,11
4,chr10_101150000_101155000,chr10_101180000_101185000,14
5,chr10_101150000_101155000,chr10_101190000_101195000,1529
6,chr10_101150000_101155000,chr10_101370000_101375000,12
7,chr10_101150000_101155000,chr10_101375000_101380000,1117
8,chr10_101150000_101155000,chr10_101380000_101385000,11
9,chr10_101155000_101160000,chr10_101190000_101195000,33
10,chr10_101155000_101160000,chr10_101375000_101380000,17
11,chr10_101185000_101190000,chr10_101375000_101380000,13
12,chr10_101190000_101195000,chr10_101375000_101380000,1416
13,chr10_101370000_101375000,chr10_101415000_101420000,17
14,chr10_101375000_101380000,chr10_101410000_101415000,22
15,chr10_101375000_101380000,chr10_101415000_101420000,2739
16,chr10_101375000_101380000,chr10_101440000_101445000,22
17,chr10_101375000_101380000,chr10_101445000_101450000,2320
18,chr10_101375000_101380000,chr10_101465000_101470000,12
19,chr10_101375000_101380000,chr10_101470000_101475000,1514
20,chr10_101380000_101385000,chr10_101410000_101415000,18
21,chr10_101380000_101385000,chr10_101415000_101420000,3736
22,chr10_101380000_101385000,chr10_101420000_101425000,18
23,chr10_101380000_101385000,chr10_101435000_101440000,14
24,chr10_101380000_101385000,chr10_101440000_101445000,18
25,chr10_101380000_101385000,chr10_101445000_101450000,2227
26,chr10_101380000_101385000,chr10_101465000_101470000,14
27,chr10_101380000_101385000,chr10_101470000_101475000,18
28,chr10_101380000_101385000,chr10_101475000_101480000,14
29,chr10_101385000_101390000,chr10_101410000_101415000,2536
30,chr10_101385000_101390000,chr10_101415000_101420000,4142
31,chr10_101385000_101390000,chr10_101420000_101425000,3629
32,chr10_101385000_101390000,chr10_101440000_101445000,17
33,chr10_101385000_101390000,chr10_101445000_101450000,1940
34,chr10_101385000_101390000,chr10_101455000_101460000,1614
35,chr10_101385000_101390000,chr10_101470000_101475000,15
36,chr10_101390000_101395000,chr10_101410000_101415000,25
37,chr10_101390000_101395000,chr10_101415000_101420000,2631
38,chr10_101395000_101400000,chr10_101415000_101420000,2627
39,chr10_101410000_101415000,chr10_101445000_101450000,2036
40,chr10_101415000_101420000,chr10_101440000_101445000,3132
41,chr10_101415000_101420000,chr10_101445000_101450000,4446
42,chr10_101415000_101420000,chr10_101455000_101460000,20
43,chr10_101415000_101420000,chr10_101535000_101540000,15
44,chr10_101415000_101420000,chr10_101915000_101920000,10
45,chr10_101420000_101425000,chr10_101445000_101450000,27
46,chr10_101535000_101540000,chr10_101590000_101595000,21
47,chr10_101535000_101540000,chr10_101765000_101770000,12
48,chr10_101535000_101540000,chr10_101905000_101910000,19
49,chr10_101545000_101550000,chr10_101590000_101595000,16
50,chr10_101590000_101595000,chr10_101905000_101910000,12
51,chr10_101600000_101605000,chr10_101805000_101810000,13
52,chr10_101600000_101605000,chr10_101905000_101910000,14
53,chr10_101605000_101610000,chr10_101765000_101770000,14
54,chr10_101605000_101610000,chr10_101805000_101810000,1512
55,chr10_101610000_101615000,chr10_101800000_101805000,10
56,chr10_101610000_101615000,chr10_101805000_101810000,1413
57,chr10_101660000_101665000,chr10_101805000_101810000,11
58,chr10_101665000_101670000,chr10_101685000_101690000,32
59,chr10_101665000_101670000,chr10_101690000_101695000,35
60,chr10_101665000_101670000,chr10_101700000_101705000,22
61,chr10_101665000_101670000,chr10_101720000_101725000,15
62,chr10_101665000_101670000,chr10_101725000_101730000,2018
63,chr10_101665000_101670000,chr10_101730000_101735000,2317
64,chr10_101665000_101670000,chr10_101735000_101740000,17
65,chr10_101665000_101670000,chr10_101740000_101745000,20
66,chr10_101665000_101670000,chr10_101745000_101750000,24
67,chr10_101665000_101670000,chr10_101750000_101755000,18
68,chr10_101665000_101670000,chr10_101755000_101760000,16
69,chr10_101665000_101670000,chr10_101760000_101765000,18
70,chr10_101665000_101670000,chr10_101765000_101770000,5650
71,chr10_101665000_101670000,chr10_101770000_101775000,22
72,chr10_101665000_101670000,chr10_101775000_101780000,20
73,chr10_101665000_101670000,chr10_101795000_101800000,2312
74,chr10_101665000_101670000,chr10_101800000_101805000,4918
75,chr10_101665000_101670000,chr10_101805000_101810000,8520
76,chr10_101665000_101670000,chr10_101905000_101910000,1111
77,chr10_101665000_101670000,chr10_101915000_101920000,11
78,chr10_101670000_101675000,chr10_101765000_101770000,2219
79,chr10_101670000_101675000,chr10_101800000_101805000,14
80,chr10_101670000_101675000,chr10_101805000_101810000,2211
81,chr10_101675000_101680000,chr10_101765000_101770000,2020
82,chr10_101680000_101685000,chr10_101730000_101735000,18
83,chr10_101680000_101685000,chr10_101735000_101740000,15
84,chr10_101680000_101685000,chr10_101745000_101750000,27
85,chr10_101680000_101685000,chr10_101765000_101770000,1832
86,chr10_101680000_101685000,chr10_101800000_101805000,14
87,chr10_101680000_101685000,chr10_101805000_101810000,16
88,chr10_101685000_101690000,chr10_101755000_101760000,15
89,chr10_101685000_101690000,chr10_101765000_101770000,2018
90,chr10_101690000_101695000,chr10_101725000_101730000,1923
91,chr10_101690000_101695000,chr10_101745000_101750000,20
92,chr10_101690000_101695000,chr10_101765000_101770000,2327
93,chr10_101690000_101695000,chr10_101800000_101805000,14
94,chr10_101690000_101695000,chr10_101905000_101910000,13
95,chr10_101695000_101700000,chr10_101765000_101770000,1820
96,chr10_101700000_101705000,chr10_101765000_101770000,15
97,chr10_101705000_101710000,chr10_101765000_101770000,23
98,chr10_101720000_101725000,chr10_101765000_101770000,15
